,Timestamp,I can easily log-in and log-out my Canvas account.,I can easily log-in and log-out my Canvas account. (Please write your views relating your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my course using the mobile Canvas app. ,I can access my course using the mobile Canvas app. (Please write your views about this relating to your answer above.),I can access my Canvas account using the available computers in JRU.,I can access my Canvas account using the available computers in JRU. (Please write your views about this relating to your answer above.),I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ,I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. (Please write your views about this relating to your answer above.),I can easily get help when I have problems with my Canvas account.,I can easily get help when I have problems with my Canvas account. (Please write your views about this relating to your answer above.),I can access my Canvas account outside JRU. ,I can access my Canvas account outside JRU. (Please write your views about this relating to your answer above.),I can clearly understand the lessons on my Canvas modules. ,I can clearly understand the lessons on my Canvas modules. (Please write your views about this relating to your answer above.),I recognize that the modules in my course are well organized.,I recognize that the modules in my course are well organized. (Please write your views about this relating to your answer above.),I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the desktop version. ,I can easily manage the navigation of the courses through the mobile app.,I can easily manage the navigation of the courses through the mobile app. (Please write your views about this relating to your answer above.),I notice that course materials on Canvas have connection with the face to face (classroom) lesson content.,I notice that course materials on Canvas have connection with the face to face (classroom) lesson content. (Please write your views about this relating to your answer above.),I understand the lessons better with the help of course materials in Canvas. ,I understand the lessons better with the help of course materials in Canvas. (Please write your views about this relating to your answer above.),Canvas course materials make me interested.,Canvas course materials make me interested. (Please write your views about this relating to your answer above.),The course materials on Canvas helped me prepare for: [Face to Face discussions],The course materials on Canvas helped me prepare for: [Quizzes],The course materials on Canvas helped me prepare for: [Prelim/Mid-term/Final Exam],"The course materials on Canvas helped me prepare for: [Other Tasks (Assignments, Forums, etc.)]","The course materials on Canvas helped me prepare for: Face to face discussions, quizzes, major exams, assignments, forums, etc. (Please write your views about this relating to your answer above.)",My instructor knows how to use Canvas.,My instructor knows how to use Canvas. (Please write your views about this relating to your answer above.),My instructor demonstrated mastery of the subject matter.,My instructor demonstrated mastery of the subject matter. (Please write your views about this relating to your answer above.),My instructor encourages me to use Canvas.,My instructor encourages me to use Canvas. (Please write your views about this relating to your answer above.),Canvas has made it easy for me to: [Communicate with my instructor],Canvas has made it easy for me to: [Receive class announcements],Canvas has made it easy for me to: [Share ideas on group discussions],"Canvas has made it easy for me to: communicate with my instructor, receive class announcements, share ideas on group discussions","I can answer the assessment materials (quiz, exam) posted in Canvas.","I can answer the assessment materials (quiz, exam) posted in Canvas. (Please write your views about this relating to your answer above.)",I find the course materials on Canvas aligned with the: [Quizzes],"I find the course materials on Canvas aligned with the: [Major (Prelim, Mideterm, Final) Exam]","I find the course materials on Canvas aligned with the: [Other tasks (Assignements, Forums, etc.)]","I find the course materials on Canvas aligned with the: quizzes, major exams, assignments, forums, etc.) (Please write your views about this relating to your answer above.)",I have been give enough time to accomplish the activities on Canvas.,I have been give enough time to accomplish the activities on Canvas. (Please write your views about this relating to your answer above.),What I like best in Canvas is/are:,What I like least in Canvas is/are:,I would like to suggest: 
1,2019/09/30 3:36:32 PM GMT+8,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,Agree,Agree,Agree,n/a,Agree,n/a,Agree,n/a,Agree,n/a,Agree,Agree,Agree,n/a,Agree,n/a,Agree,Agree,Agree,n/a,Agree,n/a,n/a,n/a,n/a
2,2019/09/30 3:41:50 PM GMT+8,Strongly Agree,Yes I can log in and log out my canvas account easily ,Strongly Disagree,No because the mobile app does have a lot of bugs,Strongly Disagree,No because the mobile app does have a lot of bugs,Strongly Agree,YES OF COUIRSE,Strongly Agree,NO ISSUE BECAUSE WIRED IS THE BEST,Strongly Agree,I dont have any experience about it,Strongly Agree,yes because of the internet,Strongly Agree,Yes because its organized,Strongly Agree,Yes because its organized,Strongly Agree,Yes because desktop version is good,Strongly Disagree,mobile app has a lot of bugs,Strongly Agree,yes,Strongly Agree,yes,Strongly Agree,yes ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,yes canvas helps a lot,Strongly Agree,yes she knows,Strongly Agree,yes she is a master,Strongly Agree,yes all the time,Strongly Agree,Strongly Agree,Strongly Agree,yes because of the message feature.,Strongly Agree,yes i can answer it because i am smart,Disagree,Disagree,Disagree,No because sometimes its not aligned,Strongly Disagree,dont have enough time because we dont have only 1 subject to give all our time for that deadline,FEATURES,DEADLINES,ADD MORE TIME HEHE
3,2019/09/30 3:45:45 PM GMT+8,Agree,Sometimes the internet connection is slow ,Strongly Agree,"I agree, although there are some bugs, but it help me to access my files anytime, anywhere",Strongly Agree,"I agree, although there are some bugs, but it help me to access my files anytime, anywhere",Agree,"Sometimes, the internet connection is slow",Agree,"Sometimes, the internet connection is slow",Strongly Agree,The approachable professors and student assistants are ready to help,Strongly Agree,I have my phone and internet so i can access it anytime,Strongly Agree,Detail oriented modules helps me to understand it more,Agree,"Sometimes, no",Strongly Agree,I agree,Strongly Agree,"I also agree, much handy",Strongly Agree,"It doesn't matter, the matter is canvas brings convenience to us students",Strongly Agree,"I agree, it is more detailed ",Strongly Agree,Everytime,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,"I agree, but I experienced taking an exam that is not taught and not in the module",Strongly Agree,"I agree, and they always remind us about the quizzes and activities that is needed to be done",Strongly Agree,"Yes, especially in programming",Strongly Agree,"Always, because all the lessons are there all I have to do is to read",Agree,Strongly Agree,Strongly Agree,"There are times I messaged my constructor, I didn't get any reply",Strongly Agree,I agree,Strongly Agree,Strongly Agree,Strongly Agree,I agree,Agree,"Sometimes, it doesn't. The timer doesn't fit the items that we have to answer",High accessibility of files,Nothing so far,INTERNET SPEED
4,2019/09/30 3:45:46 PM GMT+8,Strongly Agree,"Yes, ican easily log-in and log-out my Canvas account.",Strongly Agree,"Yes,  I can access my course using the mobile Canvas app.",Strongly Agree,"Yes, I can access my course using the mobile Canvas app.",Strongly Agree,I can always access my canvas account using available computers in JRU,Strongly Agree,"No, I have no issues accessing my Canvas account using the wired internet connection in the computer laboratories. ",Strongly Agree,"Yes, I can easily get help when I have problems with my Canvas account. ",Strongly Agree,I can always  access my Canvas account outside JRU.,Strongly Agree,The modules and lessons in Canvas are easy to understand,Strongly Agree,I recognize that the modules in my course are well organized.,Strongly Agree,I can easily manage the navigation of the courses through the desktop version.,Strongly Agree,I can easily manage the navigation of the courses through the mobile app.,Strongly Agree,I notice that course materials on Canvas have connection with the face to face lesson content.,Strongly Agree,I understand the lessons better with the help of course materials in Canvas.,Strongly Agree,Canvas course materials make me interested. ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,It helps me a lot ,Strongly Agree,"Yes, My instructor knows how to use Canvas.",Strongly Agree,My instructor demonstrated mastery of the subject matter.,Strongly Agree,My instructor encourages me to use Canvas. ,Strongly Agree,Strongly Agree,Strongly Agree,"it is easy to communicate with my instructor,receive class announcements, share ideas on group discussions ",Strongly Agree,"I can answer the assessment materials (quiz, exam) posted in Canvas. ",Strongly Agree,Strongly Agree,Strongly Agree,"I find the course materials on Canvas with quizzes, major exams, assignments, and forums. ",Strongly Agree,"yes, I have been give enough time to accomplish the activities on Canvas.",The best that I like about Canvas is you can make a Group chat and chat with your classmates.,"I least that I like about Canvas is that it is online, when sometimes that I have no internet, I cant access canvas and i cant answers some quiz and forums.",I have no other suggestions to add 
5,2019/09/30 3:46:24 PM GMT+8,Strongly Agree,Yes I can access and log out it.,Disagree,Sometimes not because it is not compatible on browser of the phones,Agree,Yes it is,Strongly Agree,Yes specially on the open laboratory,Disagree,there are times the signal are fluctuating,Strongly Agree,Yes they are assisting me on the ITBL office for the canvas concerns,Strongly Agree,Yes,Agree,sometimes not,Strongly Agree,yes it is full coverage of the lessons in the subject,Agree,yes ,Agree,yes when the internet connection is stable,Disagree,sometimes the lesson are different in the lesson that we tackle on the classrom,Strongly Agree,yes as a practice and learning materials,Strongly Agree,as a source of lesson summary,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes they give information for the course,Strongly Agree,Yes he/she giving the right task for us,Strongly Agree,He/she giving us the lesson that we need to learn,Strongly Agree,Through answering quizzes and forums,Strongly Agree,Strongly Agree,Strongly Agree,Yes because they announce well through it,Strongly Agree,yes because they inform us,Strongly Agree,Strongly Agree,Strongly Agree,yes because well organzed,Disagree,sometimes not because the prof did not adjusting the time,It is online learning material for the students,need an internet connection,an offline version
6,2019/09/30 3:47:05 PM GMT+8,Strongly Agree,the internet is sometimes slow.,Strongly Agree,the internet is very slow,Strongly Disagree,i dont have the canvas app,Strongly Agree,the computers are always availabe,Strongly Agree,yes. i dont have any issue,Strongly Agree,by searching through net,Strongly Agree,at home ,Strongly Agree,by the help of powerpoint presentation,Strongly Agree,"yes, it's very organized",Strongly Agree,because of the wide screen.,Strongly Agree,sometimes not because of slow internet.,Strongly Agree,it is somehow related.,Strongly Agree,canvas is very helpful,Strongly Agree,easy to use,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,easy to access,Strongly Agree,she knows it well.,Agree,not at all times,Strongly Agree,she always tell us to open our canvas,Strongly Agree,Strongly Agree,Strongly Agree,it helped me to communicate with my instructor,Strongly Agree,I can answer the quiz and exam ,Strongly Agree,Strongly Agree,Strongly Agree,sometimes the quizzes are not in the modules,Strongly Disagree,i need 1 month tbh,easy to acces,the deadlines,THAT THERE WILL BE NO MORE CASE STUDY 
7,2019/09/30 3:47:08 PM GMT+8,Strongly Agree,Sometimes the internet is slow.,Strongly Disagree,I rather use internet browser than mobile app.,Strongly Disagree,I don't use mobile app,Strongly Agree,We can use open lab to access our canvas account,Strongly Agree,It's more faster than wireless internet connection,Strongly Disagree,I don't know where will I go if I have problem with my canvas account,Strongly Agree,Unless I don't have internet,Strongly Agree,By using powerpoint presentation,Strongly Agree,Its is sort by week/s,Strongly Agree,This why I don't use mobile application,Strongly Disagree,I don't use mobile application,Strongly Agree,It's the same modules,Strongly Agree,I can access anywhere,Strongly Agree,It's motivating,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,I can have easy access anywhere,Strongly Agree,It's required,Strongly Agree,It's hard to study if the teacher don't know they are talking about,Strongly Agree,We can have easy access,Strongly Disagree,Strongly Agree,Strongly Disagree,My instructor is not replying in canvas,Strongly Disagree,We want notification before the deadline,Strongly Agree,Strongly Agree,Strongly Agree,The modules on Canvas is the reviewer,Strongly Agree,We need notification before the deadline,I like the best in Canvas are we have anywhere access and its easy to use.,We need enough notification because some activities that has deadline don't notify us when is the deadline,"I suggest that, they will notify us offline or online"
8,2019/09/30 3:47:12 PM GMT+8,Strongly Agree,"Yes, I can easily access my Canvas Account.",Strongly Agree,I always use my mobile to access Canvas app. It works really well,Strongly Agree,"Yes, It works really well all the time.",Strongly Agree,Any computer inside lab or JRU works fine when accessing Canvas.,Strongly Disagree,"Sometimes the wired internet connection is slow, thus, doing projects and activities really stressful",Strongly Agree,IT department handles the concern in a timely manner,Strongly Agree,With a good internet connection and acceptable computer.,Strongly Agree,It can easily be accessed.,Strongly Agree,Well organized indeed.,Strongly Disagree,Some of the courses sometimes is not showing in the canvas courses tab.,Strongly Agree,"Yes, It works fine for me.",Agree,Depends with the professors.,Strongly Agree,Good job by the professors.,Strongly Agree,"Yes, It is fun. More activities I may suggest.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"as long as the canvas material are available, it will help students a lot.",Strongly Agree,"Yes, most of the time. Maybe for new professor I guess they need time to get used of the canvas uploading system.",Strongly Agree,Most of the time they are.,Strongly Agree,We always use canvas.,Strongly Agree,Strongly Agree,Strongly Agree,"There is always a forum for the subject itself. However , most of the time irregular students are not being included in the forum.",Strongly Agree,Yes. We can access it all the time,Strongly Agree,Strongly Agree,Strongly Agree,It is always aligned to the tasks at hand.,Strongly Disagree,"Most of the time, yes!","I like best is that announcements are made through canvas. We can access it outside school, thus, giving us time to make some activities at home.",I like least is that if I access it inside JRU facilities and having slow connections,I would like to suggest to inhance the canvas more in terms of accessing outside JRU.
9,2019/09/30 3:47:13 PM GMT+8,Strongly Agree,the computer and the internet is fast for us to log in and logout easily,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,i can easily access my account in our computer lab,Strongly Agree,yes there is no problem lin log in and logout of canvas,Strongly Agree,there is a student assistant in our laboratory when there is a problem were able to call them and ask for help,Strongly Agree,it's more easy for us because even though where not in school were able to access our canvas acc,Strongly Agree,yes because all of the lessons are in the canvas,Strongly Agree,yes because they already fix it ,Strongly Agree,yes i can easily manage it,Strongly Agree,yes i can easily manage the navigation,Strongly Agree,yes yes yes yes,Strongly Agree,yes because of the help of course materials in canvas we can easily access it,Strongly Agree,yes im interested,Agree,Agree,Strongly Agree,Strongly Agree,because of it we can easily answers all of the questions,Strongly Agree,yes because we always use canvas in our laboratory activities,Strongly Agree,yes,Strongly Agree,Yes because all of our laboratory activities must be sumbitted in canvas,Strongly Agree,Strongly Agree,Strongly Agree,yes because canvas have inbox for us to be able to communicate with our classmates,Strongly Agree,yes because all of out prof is putting quiz and a date so we can able to answer it on time,Strongly Agree,Strongly Agree,Strongly Agree,the quiz exam and activities are in date in canvas we have 1 week to be able to sumbit it,Strongly Agree,yes,yes,yes,yes
10,2019/09/30 3:48:03 PM GMT+8,Strongly Agree,I can easily login but the internet is too slow to open up the account.,Strongly Agree,Can access but the app is too slow.,Strongly Agree,Can access but the app is too slow.,Strongly Disagree,"some of the computers have no internet connection, or the pc is too slow.",Strongly Disagree,Even though we use our accounts in our phones it's still too slow.,Strongly Agree,Yes because someone will guide you.,Strongly Agree,i have no problem with this.,Strongly Disagree,sometimes it's too difficult to see what's our modules because it's not fully organize.,Strongly Disagree,It's not organized that well and sometimes we don't get notifications in our subs.,Strongly Disagree,The site needs to be more user-friendly and more easier to use.,Strongly Agree,the app version is nice.,Strongly Disagree,no i didn't notice.,Strongly Agree,it helps alot.,Strongly Disagree,i think it's much better to just put all the subjects to the main timeline for us easily see the subjects.,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,sometimes we don't get notifications for quizzes and etc.,Strongly Agree,it's better to have a prof that how knowledge about the canvas than those profs who doesn't care about his/her students.,Strongly Agree,"a prof that knows how to teach, is an amazing prof.",Strongly Agree,"my prof always makes us use canvas prof quizzes, and everything",Strongly Disagree,Strongly Disagree,Strongly Agree,can only share ideas,Strongly Disagree,"sometimes no, because we don't always get notifications.",Strongly Disagree,Strongly Agree,Strongly Disagree,only the exams that notify us.,Strongly Disagree,how can we know if there's still time if the app don't even notify us.,the design,notifications,TO IMPROVE THE NOTIFICATION BELL AND MAKE IT MORE NOTICEABLE
