Polarity,Subjectivity
0.7,0.6000000000000001
0.5,0.5
0.07738095238095237,0.544047619047619
-0.04047619047619047,0.22142857142857142
0.7,0.6000000000000001
0.0,0.0
0.7,0.6000000000000001
0.1,0.45
0.05000000000000002,0.5
0.7,0.6000000000000001
0.26666666666666666,0.5666666666666667
0.1,0.3
0.1,0.3
0.6,0.9
0.5283333333333333,0.6708333333333334
0.11499999999999999,0.62
0.39,0.5625
0.7,0.6000000000000001
0.0,0.0
0.5,0.5
0.02500000000000001,0.35
0.28600000000000003,0.6293333333333334
0.4392857142857143,0.4678571428571429
0.375,0.5
0.0,0.0
0.0,0.0
0.030000000000000006,0.45
0.7,0.6000000000000001
0.0,0.0
0.0,0.0
0.5,0.75
0.1662326388888889,0.4600694444444444
0.5,0.5
0.0,0.0
0.16666666666666666,0.6666666666666666
0.030000000000000006,0.45
0.7,0.6000000000000001
0.0,0.0
0.5,0.5
0.0,0.0
0.0,0.0
