('neg', 0.0):('neu', 0.606):('pos', 0.394):('compound', 0.3818)
('neg', 0.117):('neu', 0.516):('pos', 0.366):('compound', 0.6486)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.811):('pos', 0.189):('compound', 0.2716)
('neg', 0.0):('neu', 0.488):('pos', 0.512):('compound', 0.6369)
('neg', 0.088):('neu', 0.586):('pos', 0.326):('compound', 0.8166)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.715):('pos', 0.285):('compound', 0.4199)
('neg', 0.0):('neu', 0.821):('pos', 0.179):('compound', 0.34)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.75):('pos', 0.25):('compound', 0.4576)
('neg', 0.46):('neu', 0.54):('pos', 0.0):('compound', -0.3724)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.408):('pos', 0.592):('compound', 0.4404)
('neg', 0.0):('neu', 0.408):('pos', 0.592):('compound', 0.4404)
('neg', 0.0):('neu', 0.633):('pos', 0.367):('compound', 0.4404)
('neg', 0.122):('neu', 0.739):('pos', 0.139):('compound', 0.101)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.328):('pos', 0.672):('compound', 0.6249)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.685):('pos', 0.315):('compound', 0.3182)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.263):('pos', 0.737):('compound', 0.4215)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.58):('pos', 0.42):('compound', 0.4404)
('neg', 0.0):('neu', 0.408):('pos', 0.592):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.756):('pos', 0.244):('compound', 0.4404)
('neg', 0.193):('neu', 0.807):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.303):('pos', 0.697):('compound', 0.5574)
('neg', 0.0):('neu', 0.714):('pos', 0.286):('compound', 0.4588)
