Polarity,Subjectivity
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.3,0.6
0.7,0.6000000000000001
0.04999999999999999,0.95
0.0,0.0
0.0,0.0
0.3,0.1
0.44,0.585
0.0,0.0
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.4,0.55
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.0,0.0
0.0,0.0
0.85,0.45000000000000007
-0.2,0.5
0.0,0.0
0.0,0.0
0.6,0.55625
0.4333333333333333,0.7333333333333333
0.0,0.0
0.2,0.2
1.0,0.3
0.0,0.0
-0.4,0.6
0.1,0.45
0.7,0.6000000000000001
0.3333333333333333,0.7962962962962963
0.14444444444444446,0.5444444444444445
-0.2638888888888889,0.5222222222222221
-0.14865646258503398,0.5307312925170068
0.13333333333333333,0.3333333333333333
0.2,0.30000000000000004
1.0,1.0
0.0,0.0
